time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-13T04:19:35.000Z,45.530,15.960,12.0,2.6,ML,,,,,oe,oe52981554,2021-02-13T07:13:07.326Z,NORTHWESTERN BALKAN REGION,earthquake,,,,,manual,oe,oe
2021-02-13T04:05:56.800Z,-22.996,171.441,0.0,4.4,mb,,,,,oe,oe52981560,2021-02-13T15:43:10.577Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,5,manual,oe,oe
2021-02-13T04:02:58.000Z,45.520,16.010,10.0,1.9,ML,,,,,oe,oe52981552,2021-02-13T07:10:08.393Z,NORTHWESTERN BALKAN REGION,earthquake,,,,,manual,oe,oe
2021-02-13T03:55:23.000Z,45.400,16.210,8.0,3.4,ML,,,,,oe,oe52981543,2021-02-13T07:08:11.208Z,NORTHWESTERN BALKAN REGION,earthquake,,,,,manual,oe,oe
2021-02-12T20:55:16.581Z,-23.263,171.774,10.0,0.0,-,,,,,oe,oe52981540,2021-02-13T13:21:42.928Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T17:01:34.628Z,38.132,73.569,91.6,0.0,-,,,,,oe,oe52981504,2021-02-13T13:19:54.895Z,TAJIKISTAN-XINJIANG BORDER REG.,earthquake,,,,,manual,oe,oe
2021-02-12T16:07:11.181Z,47.800,16.181,10.9,2.6,ML,11,68.6,1.29,0.74,oe,oe52981442,2021-02-12T16:23:26.499Z,AUSTRIA,earthquake,2.9,,0.3,7,manual,oe,oe
2021-02-12T15:36:47.114Z,48.753,13.864,15.0,2.0,ML,6,204.8,2.46,0.48,oe,oe52981369,2021-02-12T15:37:33.195Z,AUSTRIA,earthquake,,,0.3,5,automatic,oe,oe
2021-02-12T14:54:23.061Z,-23.203,171.764,10.0,5.3,mb,,,,,oe,oe52981263,2021-02-13T08:41:39.583Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T11:23:28.000Z,-23.964,165.989,430.5,3.2,mb,,,,,oe,oe52980912,2021-02-12T12:57:32.701Z,NEW CALEDONIA,earthquake,,,0.5,5,manual,oe,oe
2021-02-12T11:05:38.484Z,-23.294,171.631,10.0,0.0,-,,,,,oe,oe52980651,2021-02-12T12:57:32.702Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T11:00:40.140Z,-22.347,170.945,0.0,4.4,mb,,,,,oe,oe52980644,2021-02-12T12:51:44.464Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,6,manual,oe,oe
2021-02-12T10:53:31.398Z,48.617,14.307,15.0,2.2,ML,7,195.3,2.24,0.37,oe,oe52980630,2021-02-12T10:54:21.458Z,AUSTRIA,earthquake,,,0.3,5,automatic,oe,oe
2021-02-12T10:34:13.551Z,-23.387,171.719,10.0,5.3,mb,,,,,oe,oe52980627,2021-02-12T14:15:27.505Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T10:34:13.551Z,-23.387,171.719,10.0,5.3,mb,,,,,oe,oe52980894,2021-02-12T14:15:27.505Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T10:06:01.721Z,-23.220,171.567,10.0,0.0,-,,,,,oe,oe52980563,2021-02-12T12:41:42.216Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T10:04:03.989Z,-22.518,171.720,10.0,0.0,-,,,,,oe,oe52980871,2021-02-12T12:41:42.215Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T08:56:42.580Z,-22.963,171.413,0.0,4.0,mb,,,,,oe,oe52980867,2021-02-12T12:38:13.585Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.4,5,manual,oe,oe
2021-02-12T08:52:18.820Z,-22.904,171.303,0.0,4.3,mb,,,,,oe,oe52980866,2021-02-12T12:37:55.272Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,8,manual,oe,oe
2021-02-12T08:44:36.330Z,-22.635,171.282,0.0,4.2,mb,,,,,oe,oe52980864,2021-02-12T12:36:44.528Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,4,manual,oe,oe
2021-02-12T08:33:53.948Z,-23.363,171.115,10.0,5.0,mb,,,,,oe,oe52980863,2021-02-12T12:36:30.718Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T07:49:35.036Z,-23.242,171.239,10.0,5.2,mb,,,,,oe,oe52980488,2021-02-12T12:36:19.261Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T07:25:19.456Z,47.229,11.382,7.1,2.2,ML,19,84.4,0.77,0.39,oe,oe52980465,2021-02-13T04:44:11.826Z,AUSTRIA,earthquake,1.0,2.0,0.2,20,manual,oe,oe
2021-02-12T07:10:14.050Z,-22.564,171.183,0.0,4.1,mb,,,,,oe,oe52980856,2021-02-12T14:13:51.334Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.4,8,manual,oe,oe
2021-02-12T04:42:12.950Z,-20.836,172.116,0.0,3.8,mb,,,,,oe,oe52980854,2021-02-12T12:33:49.093Z,VANUATU ISLANDS REGION,earthquake,,,0.1,2,manual,oe,oe
2021-02-12T04:05:59.752Z,-23.269,171.480,10.0,0.0,-,,,,,oe,oe52980371,2021-02-12T12:32:44.495Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T03:47:44.982Z,-22.472,171.082,10.0,0.0,-,,,,,oe,oe52980359,2021-02-12T12:31:36.464Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T03:37:54.200Z,41.340,33.530,5.0,4.8,ML,,,,,oe,oe52980830,2021-02-12T12:28:39.433Z,TURKEY,earthquake,,,,,manual,oe,oe
2021-02-12T03:26:20.370Z,-21.125,170.283,0.5,4.2,mb,,,,,oe,oe52980357,2021-02-12T12:29:39.508Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,5,manual,oe,oe
2021-02-12T02:53:04.580Z,-22.644,171.295,0.0,3.8,mb,,,,,oe,oe52980829,2021-02-12T12:27:08.227Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.4,6,manual,oe,oe
2021-02-12T01:55:06.970Z,-23.133,170.992,0.0,4.1,mb,,,,,oe,oe52980826,2021-02-12T12:26:20.221Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,7,manual,oe,oe
2021-02-12T01:01:29.539Z,-22.415,171.255,10.0,4.9,mb,,,,,oe,oe52980819,2021-02-12T12:25:39.591Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-12T00:04:35.540Z,-22.781,170.484,0.0,4.0,mb,,,,,oe,oe52980815,2021-02-12T12:23:04.348Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.4,4,manual,oe,oe
2021-02-11T23:38:20.310Z,-22.616,171.304,0.0,4.1,mb,,,,,oe,oe52980813,2021-02-12T12:22:37.242Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.2,7,manual,oe,oe
2021-02-11T22:42:46.440Z,-22.143,170.193,0.0,4.1,mb,,,,,oe,oe52980810,2021-02-12T12:22:20.762Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.4,3,manual,oe,oe
2021-02-11T22:10:35.341Z,34.724,45.354,10.0,4.9,mb,,,,,oe,oe52980805,2021-02-12T12:20:48.148Z,IRAN-IRAQ BORDER REGION,earthquake,,,,,manual,oe,oe
2021-02-11T22:02:36.203Z,-22.776,171.607,10.0,5.1,mb,,,,,oe,oe52980356,2021-02-12T12:21:41.699Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T21:16:03.605Z,-22.626,171.268,10.0,4.9,mb,,,,,oe,oe52980800,2021-02-12T12:19:51.884Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T21:09:49.173Z,53.821,160.411,50.7,4.6,mb,,,,,oe,oe52980798,2021-02-12T12:18:37.593Z,NEAR EAST COAST OF KAMCHATKA,earthquake,,,,,manual,oe,oe
2021-02-11T20:25:21.301Z,47.223,15.071,15.0,1.8,ML,5,122.1,1.14,0.37,oe,oe52980343,2021-02-11T20:25:49.816Z,AUSTRIA,earthquake,,,0.5,6,automatic,oe,oe
2021-02-11T20:05:53.482Z,-22.627,171.176,10.0,5.2,mb,,,,,oe,oe52980348,2021-02-12T12:18:12.224Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T19:25:54.110Z,-23.441,171.260,0.0,4.0,mb,,,,,oe,oe52980785,2021-02-12T12:16:24.656Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,6,manual,oe,oe
2021-02-11T19:20:39.029Z,-22.570,171.500,10.0,5.1,mb,,,,,oe,oe52980341,2021-02-12T12:15:27.446Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T19:02:39.018Z,-23.499,171.849,10.0,5.0,mb,,,,,oe,oe52980336,2021-02-12T12:12:17.924Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T18:52:10.200Z,-23.078,171.541,0.0,4.2,mb,,,,,oe,oe52980771,2021-02-12T12:11:11.201Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.2,7,manual,oe,oe
2021-02-11T18:49:53.480Z,-22.826,171.572,0.0,3.8,mb,,,,,oe,oe52980770,2021-02-12T12:11:11.201Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,5,manual,oe,oe
2021-02-11T18:38:44.220Z,-22.666,170.896,0.0,4.2,mb,,,,,oe,oe52980767,2021-02-12T13:15:43.151Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,9,manual,oe,oe
2021-02-11T18:24:13.506Z,48.617,14.307,15.0,1.9,ML,7,195.3,2.23,0.46,oe,oe52980322,2021-02-11T18:24:56.444Z,AUSTRIA,earthquake,,,0.2,5,automatic,oe,oe
2021-02-11T18:04:56.897Z,-23.317,171.782,10.0,5.2,mb,,,,,oe,oe52980325,2021-02-12T12:08:20.054Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T17:36:03.400Z,-23.213,171.232,0.0,3.8,mb,,,,,oe,oe52980751,2021-02-12T12:04:17.931Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.2,6,manual,oe,oe
2021-02-11T17:30:22.910Z,-26.663,175.788,284.1,3.6,mb,,,,,oe,oe52980748,2021-02-12T12:03:29.609Z,SOUTH OF FIJI ISLANDS,earthquake,,,0.2,6,manual,oe,oe
2021-02-11T17:21:09.321Z,-23.228,171.502,10.0,5.1,mb,,,,,oe,oe52980316,2021-02-12T12:02:27.108Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T16:52:32.973Z,-22.742,171.654,10.0,5.1,mb,,,,,oe,oe52980738,2021-02-12T12:01:40.346Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T16:43:55.074Z,-22.591,171.114,10.0,5.0,mb,,,,,oe,oe52980730,2021-02-12T12:01:22.324Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T15:54:04.412Z,46.566,12.418,14.7,2.2,ML,18,166.6,1.05,0.37,oe,oe52980290,2021-02-12T11:59:20.021Z,NORTHERN ITALY,earthquake,1.8,3.1,0.2,18,manual,oe,oe
2021-02-11T15:50:20.470Z,-20.691,171.060,0.0,4.1,mb,,,,,oe,oe52980729,2021-02-12T12:00:55.840Z,VANUATU ISLANDS REGION,earthquake,,,0.4,7,manual,oe,oe
2021-02-11T15:28:07.000Z,-5.890,130.560,161.0,4.0,mb,,,,,oe,oe52980720,2021-02-12T11:54:55.560Z,BANDA SEA,earthquake,,,,,manual,oe,oe
2021-02-11T15:12:17.400Z,-22.519,171.760,0.0,4.1,mb,,,,,oe,oe52980718,2021-02-12T11:53:17.156Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,6,manual,oe,oe
2021-02-11T14:59:45.390Z,-21.616,171.774,181.6,3.7,mb,,,,,oe,oe52980713,2021-02-12T11:52:18.579Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,8,manual,oe,oe
2021-02-11T14:55:08.579Z,-22.805,171.693,10.0,0.0,-,,,,,oe,oe52980195,2021-02-12T11:52:18.580Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T13:55:22.110Z,-24.526,172.159,0.0,3.9,mb,,,,,oe,oe52980707,2021-02-12T11:51:31.409Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,5,manual,oe,oe
